This file includes all known homonyms that should not be considered as name matches
nameCache;author1;author2
Sabaudia;Buscal. & Muschl.;Ghigi, 1909
Sabina;Mill.;Williams, 1851
Schizophyllum;Fr.;Verhoeff, 1895
Schmidtia;Steud.;Balsamo Crivelli, 1863
Schroederella;Enderlein, 1920;J. Pavillard, 1913
Searsia;F. A. Barkley;Parr, 1937
Semele;Kunth;Schumacher, 1817
Seriola;L.;Cuvier, 1816
Seriola;L.;Hanitsch, 1889
Serpula;(Pers.) Gray;Linnaeus, 1758
Seuratia;Pat.;Skrjabin, 1916
Seuratia;Pat.;Ditlevsen, 1918
Sida;L.;Straus, 1820
Siphonaptera;;Vella, 1957;Order;Genus
Solenostoma;Mitt.;Brady & Robertson, 1873
Solieria;Robineau-Desvoidy, 1848;J.Agardh, 1842
Sorosphaera;J. Schröt.;Brady, 1879
Sphaerella;(Fr.) Rabenh.;Sommerfelt, 1824
Sphaeridium;Fresen.;Fabricius, 1775
Sphaeroderma;Fuckel;J.L. LeConte, 1861
Sphaeroderma;Fuckel;Stephens, 1831
Sphaeromides;Dollfus, 1897;Latreille, 1825
Sphaerosoma;Klotzsch;Samouelle, 1819
Sphaerosoma;Klotzsch;Leydig, 1851
Sphaerospora;(Sacc.) Sacc.;Sweet
Sphaerospora;Sweet;Thélohan, 1892
Sphaerospora;(Sacc.) Sacc.;Thélohan, 1892
Sphenella;Robineau-Desvoidy, 1830;F.T. Kützing, 1844
Squilla;Steinh.;Fabricius, 1787
Stagnicola;Redhead & A.H. Sm.;Jeffreys, 1830
Stagnicola;Redhead & A.H. Sm.;Montrouzier, 1860
Staurophora;Reichenbach, 1817;C. Mereschkowsky, 1903
Stellaria;L.;Nardo, 1834
Stenella;Syd.;Gray, 1866
Stephensia;Tul. & C. Tul.;Stainton, 1858
Stilbum;Tode;Spinola, 1806
Strasseria;Bres. & Sacc.;Verhoeff, 1929
Strigosella;Boiss.;Sacco, 1896
Subularia;L.;Monterosato, 1884
Subularia;Forssk.;Monterosato, 1884
Sympodium;K. Koch;Ehrenberg, 1834
Tapinella;E.-J. Gilbert;Enderlein, 1908
Thapsia;L.;Monterosato, 1884
Tetracladium;De Wild.;Kulachkova, 1954
Tetracladium;Kulachkova, 1954;De Wild., 1893
Thamnidium;Link;Thuret, 1863
Thecocarpus;Boiss.;Nutting, 1900
Theria;Hübner, 1825;;Genus;Subclass
Timmia;Hedw.;Hopper, 1961
Trichia;Haller;W. Hartmann, 1840
Trichoceras;Ratzeburg, 1844;Kützing, 1849
Trichoderma;Pers.;Stephens, 1833
Trichoderma;Pers.;Greeff, 1869
Trichonema;Ker Gawl.;De Fromentel
Trigonaspis;Hartig, 1840;H.A.Thomsen, 1980
Trigonella;L.;da Costa, 1778
Trigonella radiata;(L.) Boiss.;da Costa, 1778
Tripylina;Brzeski, 1963;Andrassy, 1974
Tritonia;Ker Gawl.;Cuvier, 1797
Trochoidea;T. Brown, 1827;Rafinesque, 1815
Truncatella;Steyaert;Risso, 1826
Tubulifera;O.F. Müll. ex Jacq.;
Tylodina;;Rafinesque, 1814;Subtribe;Genus
Urnula;Fr.;Wiesner, 1931
Urocystis;Rabenh. ex Fuckel;Villot, 1880
Venturia;Sacc.;Schrottky, 1902
Vertebrata;;S.F.Gray, 1821;Subphylum;Genus
Vesicularia;(Müll. Hal.) Müll. Hal.;Thompson, 1830
Vogtia;Oberpr. & Sonboli;Kölliker, 1853
Volutella;Fr.;Swainson, 1831
Volutella;Fr.;(Chardez, 1972)
Volvaria;(Fr.) P. Kumm.;Lamarck, 1801
Williamia;Baill.;Monterosato, 1884
Wilsoniella;E.B.G. Jones ined.;Pettibone, 1993
Woodwardia;Sm.;Crosse & P. Fischer, 1861
